fleet_no;cost_centre;reg_no;category;group;body_type;status;area_available
1184;LONG01-FLT;KN71CBGP;TRAILER;FRONT LINK;Curtainside;;
1185;LONG01-FLT;KN71CFGP;TRAILER;REAR LINK;Curtainside;;
1188;LONG01-FLT;KN70HFGP;TRAILER;FRONT LINK;Curtainside;;
1189;LONG01-FLT;KN70HPGP;TRAILER;REAR LINK;Curtainside;;
1192;LONG01-FLT;KN70LPGP;TRAILER;FRONT LINK;Curtainside;;
1193;LONG01-FLT;KN70MTGP;TRAILER;REAR LINK;Curtainside;;
1204;LONG01-FLT;KN70TGGP;TRAILER;FRONT LINK;Curtainside;;
1205;LONG01-FLT;KN70TTGP;TRAILER;REAR LINK;Curtainside;;
1206;LONG01-FLT;KN90NBGP;TRAILER;FRONT LINK;Curtainside;;
1207;LONG01-FLT;KN70NNGP;TRAILER;REAR LINK;Curtainside;;
1216;LONG01-FLT;KN90NPGP;TRAILER;FRONT LINK;Curtainside;;
1217;LONG01-FLT;KN90NMGP;TRAILER;REAR LINK;Curtainside;;
1218;LONG01-FLT;KN90NKGP;TRAILER;FRONT LINK;Curtainside;;
1219;LONG01-FLT;KN90NDGP;TRAILER;REAR LINK;Curtainside;;
1222;LONG01-FLT;KN70RMGP;TRAILER;FRONT LINK;Curtainside;;
1223;LONG01-FLT;KN70PWGP;TRAILER;REAR LINK;Curtainside;;
1224;TAKV01-FLT;KS78GKGP;TRAILER;FRONT LINK;Dryfreight;;
1225;TAKV01-FLT;KS78GJGP;TRAILER;REAR LINK;Dryfreight;;
1226;TAKV01-FLT;KP74CXGP;4X2;TGS 18-400;;;
1227;TAKV01-FLT;KP74CVGP;4X2;TGS 18-400;;;
1228;TAKV01-FLT;KP74CNGP;4X2;TGS 18-400;;;
1229;TAKV01-FLT;KP74CSGP;4X2;TGS 18-400;;;
1230;RENT02-FLT;KS25JFGP;TRAILER;FRONT LINK;Curtainside;;
1231;RENT02-FLT;KS25JTGP;TRAILER;REAR LINK;Curtainside;;
1232;RDBS01-FLT;KR70HMGP;5 TON;UD KUZER;Panelvan;;
1233;IMPV01-FLT;KW11KGGP;4 TON;FAW 8.140 FL;Curtainside;;
