fleet_no;cost_centre;reg_no;category;group;body_type;status;area_available
749;LNHV01-FLT;HB37PPGP;TRAILER;FRONT LINK;Curtainside;;
750;LNHV01-FLT;HB37PGGP;TRAILER;REAR LINK;Curtainside;;
751;LNHV01-FLT;HB32CLGP;TRAILER;FRONT LINK;Curtainside;;
752;LNHV01-FLT;HB32CRGP;TRAILER;REAR LINK;Curtainside;;
753;RMUH01-FLT;HF12FYGP;12 TON;UD CRONER;Fridge/Freezer;;
754;RMUH01-FLT;HF12GCGP;12 TON;UD CRONER;Fridge/Freezer;;
755;RJKJ01-FLT;HD06MHGP;1.5 TON;HINO DYNA;Dryfreight;;
756;RNUC01-FLT;HD97MDGP;8 TON;CRONER PKE250;Dropside;;
757;RTML01-FLT;HH09VNGP;4 TON;NPR400;Fully Insulated;;
758;RENT02-FLT;HH09VHGP;4 TON;NPR400;Fully Insulated;;
759;RENT02-FLT;HG58RBGP;TRAILER;TRI-AXLE;Curtainside;;
760;TAKV01-FLT;HX99JNGP;12 TON;UD90;Dryfreight;;
761;RENT02-FLT;HR87VRGP;TRAILER;DRAW BAR;Dryfreight;;
763;LNHV01-FLT;HK28WLGP;4X2;UD410;;;
765;TAKV01-FLT;HH76YMGP;TRAILER;TRI-AXLE;Dryfreight;;
766;TAKV01-FLT;HH76YJGP;TRAILER;TRI-AXLE;Dryfreight;;
767;TAKV01-FLT;HH76ZBGP;TRAILER;TRI-AXLE;Dryfreight;;
768;RSTA01-FLT;HM88PNGP;CAR;AVANZA;;;
772;RBJV01-FLT;HT70DHGP;12 TON;UD CRONER;Curtainside;;
773;RBJV01-FLT;HT40TJGP;6X4;UD450;;;
774;NIKV01-FLT;HT40TZGP;6X4;UD450;;;
775;TAKV01-FLT;HT40TRGP;6X4;UD410;;;
776;JHBT01-FLT;HV74PYGP;8 TON;CRONER LKE 210;Curtainside;;
778;NIKV01-FLT;HX01FSGP;6X4;UD450;;;
779;RROH01-FLT;HZ13GSGP;8 TON;CRONER PKE250;Curtainside;;
780;FLEE01-FLT;HY77ZHGP;CAR;ETIOS;;;
781;LONG01-FLT;HZ53LGGP;6X4;TGS 27-440;;;
782;RBJV01-FLT;HZ53LCGP;6X4;TGS 27-440;;;
783;LONG01-FLT;HZ55ZJGP;TRAILER;FRONT LINK;Curtainside;;
784;LONG01-FLT;HZ55ZBGP;TRAILER;REAR LINK;Curtainside;;
785;LONG01-FLT;HZ55YRGP;TRAILER;FRONT LINK;Curtainside;;
786;LONG01-FLT;HZ55YXGP;TRAILER;REAR LINK;Curtainside;;
788;LOSS01-FLT;HZ34VYGP;CAR;ETIOS;;;
789;LOSS01-FLT;HZ45MHGP;CAR;ETIOS;;;
790;LONG01-FLT;HD36ZMGP;6X4;TGS 26-440;;;
792;TAKV01-FLT;HD16FVGP;TRAILER;TRI-AXLE;Reefer Fridge;;
793;KELL01-FLT;HD16HPGP;TRAILER;FRONT LINK;Curtainside;;
794;KELL01-FLT;HD16GDGP;TRAILER;REAR LINK;;;
795;LNHV01-FLT;JC35TVGP;6X4;TGS 26-440;;;
796;LONG01-FLT;JC35TXGP;6X4;TGS 26-440;;;
797;LNHV01-FLT;JC35TYGP;6X4;TGS 26-440;;;
799;NIKV01-FLT;JC47SJGP;TRAILER;FRONT LINK;Curtainside;;
800;NIKV01-FLT;JC47SLGP;TRAILER;REAR LINK;Curtainside;;
801;RENT02-FLT;JC47SMGP;TRAILER;FRONT LINK;Curtainside;;
802;RENT02-FLT;JC47SPGP;TRAILER;REAR LINK;Curtainside;;
803;RBJV01-FLT;JC47SSGP;TRAILER;FRONT LINK;Curtainside;;
804;RBJV01-FLT;JC47SVGP;TRAILER;REAR LINK;Curtainside;;
805;RENT01-FLT;JC47TBGP;TRAILER;FRONT LINK;Curtainside;;
806;RENT01-FLT;JC47TDGP;TRAILER;REAR LINK;Curtainside;;
807;TAKV01-FLT;JD12VXGP;8 TON;CRONER PKE250;Dryfreight Tail Lift;;
808;DBSC01-FLT;JD12VWGP;8 TON;CRONER PKE250;Dryfreight Tail Lift;;
809;LONG01-FLT;JD83DKGP;6X4;TGS 27-440;Truck Tractor;;
810;RMUH01-FLT;JG84MGGP;15 TON;TGM 25-280;Multitemp Fridge/Fre;;
811;RMUH01-FLT;JG84LPGP;15 TON;TGM 25-280;Multitemp Fridge/Fre;;
812;RMUH01-FLT;JG84NDGP;15 TON;TGM 25-280;Multitemp Fridge/Fre;;
813;RDBS01-FLT;JF58SPGP;BAKKIE;D-MAXKB250;Panelvan Canopy;;
814;RDBS01-FLT;JG14XSGP;4 TON;NPR400;Dryfreight Tail Lift;;
815;RDBS01-FLT;JG15DJGP;4 TON;NPR400;Dryfreight Tail Lift;;
816;RDBS01-FLT;JG15DSGP;4 TON;NPR400;Dryfright Tail Lift;;
817;RDBS01-FLT;JG15DDGP;4 TON;NPR400;Dryfreight Tail Lift;;
818;RDBS01-FLT;JG44LJGP;4 TON;NPR400;Dryfreight Tail Lift;;
819;RSTA01-FLT;JF91PPGP;BUS;NV350;Minibus;;
820;RDBB01-FLT;JG90PPGP;BUS;SPR-516CDI;Panelvan;;
821;RDBB01-FLT;JG90PZGP;BUS;SPR-519CDI;Panelvan;;
822;RDBB01-FLT;JH63HLGP;BAKKIE;D-MAXKB250;LDV;;
824;RDBB01-FLT;JH66LHGP;4 TON;NPR400;Van Body;;
825;RDBB01-FLT;JH08LMGP;BUS;QUANT 2.8;Panelvan;;
826;RDBB01-FLT;JH08LGGP;BUS;QUANT 2.8;Panelvan;;
827;RDBB01-FLT;JH08LVGP;BUS;QUANT 2.8;Panelvan;;
828;RDBB01-FLT;JH64PXGP;BUS;NV350;Panelvan;;
829;RBJV01-FLT;JH51SLGP;TRAILER;FRONT LINK;Curtainside;;
830;RBJV01-FLT;JH51SMGP;TRAILER;REAR LINK;Curtainside;;
831;LNHV01-FLT;JH55WGGP;TRAILER;FRONT LINK;Curtainside;;
832;LNHV01-FLT;JH55WHGP;TRAILER;REAR LINK;Curtainside;;
833;LONG01-FLT;JH75TXGP;6X4;TGS 27-440;Truck Tractor;;
834;LNHV01-FLT;JH75TWGP;6X4;TGS 27-440;Truck Tractor;;
835;LONG01-FLT;JH75TYGP;6X4;TGS 27-440;Truck Tractor;;
836;RJKJ01-FLT;JL65PFGP;1.5 TON;HINO DYNA;Dryfreight;;
837;RENT01-FLT;JL51HPGP;1.5 TON;HINO DYNA;Dryfreight;;
838;RJKJ01-FLT;JL65NYGP;1.5 TON;HINO DYNA;Dryfreight;;
839;LONG01-FLT;JL96HRGP;6X4;TGS 27-440;Truck Tractor;;
840;LONG01-FLT;JL96HNGP;6X4;TGS 27-440;Dryfreight;;
841;LONG01-FLT;JL88NMGP;TRAILER;FRONT LINK;Curtainside;;
842;LONG01-FLT;JL88NRGP;TRAILER;REAR LINK;Curtainside;;
843;PMBV01-FLT;JL88MYGP;TRAILER;FRONT LINK;Curtainside;;
844;PMBV01-FLT;JL88NSGP;TRAILER;REAR LINK;Curtainside;;
845;RENT02-FLT;JL88NJGP;TRAILER;FRONT LINK;Curtainside;;
846;RENT02-FLT;JL88NCGP;TRAILER;REAR LINK;Curtainside;;
847;RHOP01-FLT;JN84RRGP;4 TON;NPR400;Curtainside;;
848;RBJV01-FLT;JM43MDGP;TRAILER;FRONT LINK;Curtainside;;
849;RBJV01-FLT;JM43LZGP;TRAILER;REAR LINK;Curtainside;;
850;KELL01-FLT;JP39YBGP;8 TON;CRONER PKE 280;Curtainside;;
851;KELL01-FLT;JP27FTGP;TRAILER;DRAW BAR;Curtainside;;
852;TAKV01-FLT;JN11LRGP;6X4;GEW440 6X4;;;
853;PMBV01-FLT;JN11MPGP;6X4;GEW440 6X4;;;
854;RENT02-FLT;JN84RPGP;6X4;26.480 BLS;;;
855;RBJV01-FLT;JN45YSGP;6X4;GEW440 6X4;Truck Tractor;;
856;RBJV01-FLT;JP27FPGP;6X4;GEW440 6X4;Truck Tractor;;
857;JHBT01-FLT;JP39YHGP;8 TON;CRONER PKE250;Curtainside;;
858;RHOP01-FLT;JS53VCGP;4 TON;UD KUZER;Dryfreight;;
859;IMPV01-FLT;JS53CPGP;4 TON;UD KUZER;Dryfreight;;
860;RNUC01-FLT;JS53CLGP;4 TON;UD KUZER;Dryfreight;;
861;KZNV01-FLT;JT18WXGP;4 TON;UD KUZER;Curtainside;;
862;KZNV01-FLT;JS53VBGP;4 TON;UD KUZER;Curtainside;;
863;TAKV01-FLT;JR54ZMGP;8 TON;CRONER PKE250;Dryfreight;;
864;NIKV01-FLT;JR54ZJGP;8 TON;CRONER PKE250;Dryfreight;;
865;RLAS01-FLT;JR54ZSGP;8 TON;CRONER PKE250;Dryfreight;;
866;IMPV01-FLT;JR54ZTGP;8 TON;CRONER PKE250;Dryfreight;;
867;TAKV01-FLT;JR54ZPGP;8 TON;CRONER PKE250;Dryfreight;;
868;RNUC01-FLT;JR54ZGGP;8 TON;CRONER PKE250;Dryfreight Tail Lift;;
869;PMBV01-FLT;JR81ZTGP;8 TON;CRONER LKE 210;Curtainside;;
870;PMBV01-FLT;JR81WWGP;8 TON;CRONER LKE 210;Curtainside;;
871;RENT01-FLT;JR81WHGP;8 TON;CRONER LKE 210;Curtainside;;
872;JHBT01-FLT;JR81VWGP;8 TON;CRONER LKE 210;Curtainside;;
873;JTSP01-FLT;JR81NNGP;8 TON;CRONER LKE 210;Curtainside;;
874;RBJV01-FLT;JR81XCGP;8 TON;CRONER LKE 210;Curtainside;;
875;RBJV01-FLT;JR81XGGP;8 TON;CRONER LKE 210;Curtainside;;
876;JHBT01-FLT;JR81LXGP;8 TON;CRONER LKE 210;Curtainside;;
877;LNHV01-FLT;JR81NWGP;8 TON;CRONER LKE 210;Curtainside;;
878;RBJV01-FLT;JR81WBGP;8 TON;CRONER LKE 210;Curtainside;;
879;RENT01-FLT;JR81LVGP;8 TON;CRONER LKE 210;Panelvan;;
880;LNHV01-FLT;JR81WTGP;8 TON;CRONER LKE 210;Curtainside;;
881;RENT02-FLT;JR81MZGP;8 TON;CRONER LKE 210;Panelvan;;
882;RENT02-FLT;JR81ZCGP;8 TON;CRONER LKE 210;Panelvan;;
883;RHOP01-FLT;JR81ZKGP;8 TON;CRONER LKE 210;Curtainside;;
884;PMBV01-FLT;JR54ZYGP;8 TON;CRONER LKE 210;Curtainside;;
885;RHOP01-FLT;JR55BCGP;8 TON;CRONER LKE 210;Curtainside;;
886;JHBT01-FLT;JR54ZWGP;8 TON;CRONER LKE 210;Curtainside;;
887;RBJV01-FLT;JR81YSGP;8 TON;CRONER LKE 210;Curtainside;;
888;RJKJ01-FLT;JR54ZVGP;8 TON;LKE 210;Curtainside;;
889;RJKJ01-FLT;JR54ZZGP;8 TON;CRONER LKE 210;Curtainside;;
890;PMBV01-FLT;JS97ZKGP;14 TON;CRONER PKE 280;Curtainside;;
891;LNHV01-FLT;JR81JMGP;14 TON;CRONER PKE 280;Curtainside;;
892;PMBV01-FLT;JS44DCGP;14 TON;CRONER PKE 280;Curtainside;;
893;LNHV01-FLT;JR81JDGP;14 TON;CRONER PKE 280;Curtainside;;
894;TAKV01-FLT;JR81PGGP;14 TON;CRONER PKE 280;Dryfreight;;
895;TAKV01-FLT;JR81KTGP;14 TON;CRONER PKE 280;Dryfreight;;
896;KZNV01-FLT;JR81NHGP;4 TON;UD KUZER;Fridge;;
897;KZNV01-FLT;JR81PLGP;4 TON;UD KUZER;Fridge;;
898;RENT02-FLT;JS44DFGP;4 TON;UD KUZER;Fridge;;
899;IMPV01-FLT;JS53TXGP;4 TON;UD KUZER;Fridge;;
900;RHOP01-FLT;JS44DGGP;4 TON;UD KUZER;Fridge;;
901;RBJV01-FLT;JS53CCGP;8 TON;LKE 210;Curtainside;;
902;IMPV01-FLT;JS44DPGP;4 TON;NPR400;Dryfreight-Taillift;;
903;LONG01-FLT;JR81RJGP;6X4;TGS 27-440;;;
904;LONG01-FLT;JR81PYGP;6X4;TGS 27-440;;;
905;LONG01-FLT;JR81RMGP;6X4;TGS 27-440;;;
906;LONG01-FLT;JR81RTGP;6X4;TGS 27-440;;;
907;LNHV01-FLT;JR81RXGP;6X4;TGS 27-440;;;
908;LONG01-FLT;JS44DMGP;TRAILER;FRONT LINK;Curtainside;;
909;LONG01-FLT;JS44DKGP;TRAILER;REAR LINK;Curtainside;;
910;LONG01-FLT;JV19LKGP;TRAILER;FRONT LINK;Curtainside;;
911;LONG01-FLT;JT84YNGP;TRAILER;REAR LINK;Curtainside;;
914;LONG01-FLT;JY84YTGP;TRAILER;FRONT LINK;Curtainside;;
915;LONG01-FLT;JV19LJGP;TRAILER;REAR LINK;Curtainside;;
916;LNHV01-FLT;JS82LSGP;TRAILER;FRONT LINK;Curtainside;;
917;LNHV01-FLT;JS82LKGP;TRAILER;REAR LINK;Curtainside;;
918;TAKV01-FLT;JR81HGGP;6X4;TGS-26-480;;;
919;RHOP01-FLT;JT92KMGP;8 TON;CRONER PKE250;;;
920;KELL01-FLT;JV26VPGP;8 TON;CRONER PKE 280;Curtainside;;
921;LONG01-FLT;JT39RTGP;6X4;TGS 27-440;;;
922;LONG01-FLT;JT39RPGP;TRAILER;FRONT LINK;Curtainside;;
923;LONG01-FLT;JT39RLGP;TRAILER;REAR LINK;Curtainside;;
924;TAKV01-FLT;JV15VDGP;6X4;GEW440 6X4;;;
925;LNHV01-FLT;KB39SCGP;TRAILER;TRI-AXLE;Flat Bed;;
926;RDBB01-FLT;JZ69WDGP;BAKKIE;D-MAXKB250;Pick Up;;
928;TAKV01-FLT;KD61SLGP;6X4;TGS 26-440;;;
929;TAKV01-FLT;KD61SRGP;6X4;TGS 26-440;;;
930;TAKV01-FLT;KF17YPGP;TRAILER;FRONT LINK;Dryfreight;;
931;TAKV01-FLT;KF17YFGP;TRAILER;REAR LINK;Dryfreight;;
932;TAKV01-FLT;KF17YVGP;TRAILER;FRONT LINK;Dryfreight;;
933;TAKV01-FLT;KF17YHGP;TRAILER;REAR LINK;Dryfreight;;
934;JHBT01-FLT;KD61SFGP;BUS;VW-CRAFTER;Panelvan;;
935;RNUC01-FLT;KD61SBGP;BUS;VW-CRAFTER;Panelvan;;
936;JHBT01-FLT;KD61SKGP;BUS;VW-CRAFTER;Panelvan;;
937;RNUC01-FLT;KF17SWGP;4 TON;UD KUZER;Dropside;;
938;TAKV01-FLT;KF17TFGP;6X4;GEW440 6X4;;;
939;RDBA01-FLT;KF92TKGP;8 TON;FTR 850;Panelvan;;
940;RDBA01-FLT;KF92TSGP;8 TON;FTR 850;Panelvan;;
941;RDBA01-FLT;KG14DCGP;8 TON;FTR 850;Curtainside;;
942;RDBA01-FLT;KF92THGP;8 TON;FTR 850;Curtainside;;
943;RDBA01-FLT;KF92SZGP;8 TON;FTR 850;Panelvan;;
944;RDBA01-FLT;KG14CNGP;8 TON;FTR 850;Panelvan;;
945;RDBA01-FLT;KF92TYGP;8 TON;FTR 850;Panelvan;;
946;RDBA01-FLT;KF92VDGP;8 TON;FTR 850;Panelvan;;
947;RDBA01-FLT;KF92VKGP;8 TON;FTR 850;Panelvan;;
948;RDBA01-FLT;KF92VLGP;8 TON;FTR 850;Curtainside;;
949;RDBA01-FLT;KF92VSGP;8 TON;FTR 850;Curtainside;;
950;TAKV01-FLT;KH08GBGP;TRAILER;FRONT LINK;Dryfreight;;
951;TAKV01-FLT;KH08GDGP;TRAILER;REAR LINK;Dryfreight;;
952;TAKV01-FLT;KH08FZGP;TRAILER;FRONT LINK;Dryfreight;;
953;TAKV01-FLT;KH08GFGP;TRAILER;REAR LINK;Dryfreight;;
954;TAKV01-FLT;KG29XJGP;6X4;GEW440 6X4;;;
955;TAKV01-FLT;KG96CZGP;6X4;TGS-26-480;;;
956;TAKV01-FLT;KG99JFGP;6X4;TGS-26-480;;;
957;TAKV01-FLT;KG29XCGP;6X4;TGS-26-480;;;
958;TAKV01-FLT;KG29WZGP;6X4;TGS-26-480;;;
959;TAKV01-FLT;KG29WYGP;6X4;TGS-26-480;;;
960;TAKV01-FLT;KG29XFGP;6X4;TGS-26-480;;;
961;RDBA01-FLT;KG40MGGP;BAKKIE;D-MAXKB250;Canopy;;
962;RDBA01-FLT;KG40MTGP;BAKKIE;D-MAXKB250;Canopy;;
963;LNHV01-FLT;KK80RYGP;TRAILER;DOUBLE AXL;Dryfreight;;
964;LNHV01-FLT;KK80RZGP;TRAILER;DOUBLE AXL;Dryfreight;;
965;LOSS01-FLT;KL15TDGP;BAKKIE;TOYOTA RAI;Bakkie;;
966;CORP01-FLT;KK02RCGP;CAR;STARLET 1.4L XI MT;;;
967;LOSS01-FLT;KK02PWGP;CAR;STARLET 1.4L XI MT;;;
968;TAKV01-FLT;KK80RXGP;FRIDGE;TRI-AXLE;Fridge;;
969;IMPV01-FLT;KM87LDGP;4 TON;UD KUZER;Curtainside;;
970;LNHV01-FLT;KP57FFGP;4 TON;NPR400;;;
971;IMPV01-FLT;KP57FHGP;4 TON;NPR400;;;
972;JHBT01-FLT;KP57FGGP;4 TON;NPR400;;;
973;JHBT01-FLT;KP57FLGP;4 TON;NPR400;;;
974;JHBT01-FLT;KP57FDGP;4 TON;NPR400;;;
975;IMPV01-FLT;KN71XJGP;8 TON;FTR 850;;;
976;IMPV01-FLT;KN71XMGP;8 TON;FTR 850;;;
977;JHBT01-FLT;KN91GHGP;8 TON;FTR 850;Truck Tractor;;
978;JHBT01-FLT;KN91GSGP;8 TON;FTR 850;Curtainside;;
979;JHBT01-FLT;KN91GTGP;8 TON;FTR 850;Curtainside;;
980;IMPV01-FLT;KN71XPGP;12 TON;FVM 1200;;;
981;IMPV01-FLT;KN71XLGP;12 TON;FVM 1200;Curtainside;;
982;LNHV01-FLT;KN85HLGP;12 TON;FVM 1200;Curtainside;;
983;RENT02-FLT;KN71XGGP;12 TON;FVM 1200;Curtainside;;
984;RENT02-FLT;KN71XDGP;12 TON;FVM 1200;Curtainside;;
985;LNHV01-FLT;KR10FMGP;TRAILER;FRONT LINK;Curtainside;;
986;LNHV01-FLT;KR10FTGP;TRAILER;REAR LINK;Curtainside;;
